variable,type
F1,NL
F3,NL
F4,NL
F5,NL
F6,NL
F7,NL
F8,NL
F9,NL
F10,NL
F11,NL
F12,NL
F13,NL
F14,NL
F15,NL
F16,NL
F17,NL
F18,NL
F19,NL
F20,NL
F21,NL
F22,NL
F23,NL
F24,NL
F25,NL
F26,NL
F27,NL
F28,NL
F29,NL
F30,NL
F31,NL
F32,NL
F33,NL
F34,NL
F35,NL
F36,NL
F37,NL
F38,NL
F39,NL
F40,NL
F41,NL
F42,NL
F43,NL
F44,NL
F45,NL
F46,NL
F47,NL
F48,NL
F49,NL
F50,NL
F51,NL
F52,NL
F53,NL
F54,NL
F55,NL
F56,VL
F57,VL
F58,VL
F59,VL
F60,VL
F61,VL
F62,VL
F63,VL
F64,VL
F65,VL
F66,VL
F67,VL
F68,VL
F69,VL
F70,VL
F71,VL
F72,VL
F73,VL
F74,VL
F76,VL
F77,VL
F78,VL
F79,VL
F80,VL
F81,NG
F82,NG
F83,NG
F84,NG
F85,NG
F86,NG
F87,NG
F88,NG
F89,NG
F90,NG
F91,NG
F92,NG
F93,NG
F94,NG
F95,NG
F96,NG
F97,NG
F98,NG
F99,NG
F100,NG
F101,NG
F102,NG
F103,NG
F104,NG
F105,NG
F106,VG
F107,VG
F108,VG
F109,VG
F110,VG
F111,VG
F112,VG
F113,VG
F114,VG
F115,VG
F116,VG
F117,VG
F118,VG
F119,VG
F120,VG
F121,NL
F122,NL
F123,NL
F124,NL
F125,NL
F126,NL
F127,NL
F128,NL
F129,NL
F130,NL
F133,C
F134,C
F135,C
F136,C
F137,C
F138,C
F139,C
F140,C
F141,C
F142,C
F143,C
F144,C
F145,C
F147,C
F148,C
F149,C
F150,C
F152,C
F153,C
F154,C
F157,C
F158,C
F159,C
F161,C
F162,C
F163,C
F164,C
F166,C
F167,C
F168,C
F169,C
F171,C
F172,C
F174,C
F175,C
F176,C
F178,C
F179,C
F180,C
F182,C
F183,C
F184,C